431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
161,b161,790724,1092789.5,42,146,V,CP,1.157634817,1252.783778,38.6429412,GRANITES,0.9
162,b162,790838,1093058,60,53,V,CP,0.416914612,4004.073311,19.5781081,GRANITES,0.3
163,b163,790618,1092974,80,124,V,CP,0.624713469,1050.43312,48.7059016,GRANITES,1.6
164,b164,790594,1092865,130,40,V,CP,0.125037177,925.6849,48.19,GRANITES,2.5
165,b165,790194,1093026,90,50,V,CP,0.150849443,1548.635851,18.7220408,GEOSYN. GRANITES,2.2
166,b166,790207,1093044,40,149,V,CP,1.128994021,2589.13801,40.59183673,VOLCANO-SEDIM. SCHISTS,1
167,b167,790635,1092760,60,44,K,CB2P,0.38429716,4900.13,4.3848387,GNEISS-MIGMATITES,0.3
168,b168,790724,1092789.5,50,84,V,CP,0.493852357,1589.411557,40.6830189,GRANITES,1
169,b169,790838,1093058,50,39,V,CP,0,,,GEOSYN. GRANITES,0
170,b170,790618,1092974,40,11,V,CP,0,0,0,GEOSYN. GRANITES,0
171,b171,790594,1092865,78,53,V,CP,0.711935803,2060.237001,29.7540092,GRANITES,0.6
172,b172,790194,1093026,60,120,V,CP,1.187939392,1493.7,5.72,GRANITES,0.8
173,b173,790207,1093044,30,39,V,CP,0.495925479,1794.794283,17.18116279,GRANITES,0.3
174,b174,794011,1075224,40,23,V,CP,0.116400655,4655.7,40.76247525,GRANITES,0.1
175,b175,750113,1109485,160,372,K,CP,0.50326494,810.5128285,25.0752185,GRANITES,5.4
176,b176,730100,1084264,100,292,W,CP,0.998058974,798.7731144,31.13605839,GRANITES,2.4
177,b177,751199,1046065,120,228,U,CP,1.283825081,767.5625,,GEOSYN. GRANITES,1
178,b178,778248,1095270,80,57,C,CP,0.325616877,1291.387923,22.3788789,GNEISS-MIGMATITES,1.3
179,b179,776959,1096122,80,124,V,CP,0.912845796,1117.885791,1.288181818,GNEISS-MIGMATITES,1.1
180,b180,790880,1097857,60,24,V,CP,0.411397044,2382.290331,9.6028155,GNEISS-MIGMATITES,0.3
181,b181,779491,1127703,40,104,V,CP,0,0,0,GRANITES,0
182,b182,782855,1120124,58,149,V,NC,1.285648694,992.8643349,41.83394495,GRANITES,1
183,b183,764749,1110889,90,316,V,CB2P,1.255456685,1671.403103,10.2393548,VOLCANO-SEDIM. SCHISTS,2.2
184,b184,774495,1083300,40,28,V,NC,0.272961777,1487.85,4.28,GRANITES,0.8
185,b185,763312,1092911,80,113,V,NC,0.642824348,936.4321476,1.3329268,GNEISS-MIGMATITES,1.5
186,b186,750028,1103404,230,1035,V,CB2P,1.14049481,1000.68133,4.5179487,GEOSYN. GRANITES,8
187,b187,796335,1112851,20,33,C,CB2P,0,,43.55,VOLCANO-SEDIM. SCHISTS,0
188,b188,776645,1116571,70,155,V,NC,1.23119769,1540.785904,24.4744681,VOLCANO-SEDIM. SCHISTS,1
189,b189,770261,1127259,70,21,C,CP,0.135234174,2756.740051,16.59,VOLCANO-SEDIM. SCHISTS,0.7
190,b190,764950,1135420,60,35,V,CP,0,4256,28.5152866,GNEISS-MIGMATITES,0
191,b191,779649,1116147,40,16,V,CB2P,0,0,0,GEOSYN. GRANITES,0
192,b192,761337,1096177,40,10,V,CP,0,0,0,VOLCANO-SEDIM. SCHISTS,0
193,b193,756648,1079593,80,52,V,CP,0.153348466,767.5625,,GRANITES,1
194,b194,748690,1079390,70,34,V,CP,0.122975089,1077.727641,38.2521127,GRANITES,2
195,b195,785844,1050875,40,14,V,NC,0,0,44.9627329,GRANITES,0
196,b196,777836,1057377,70,100,V,NC,0.539896826,1039.021196,17.9895652,GRANITES,1.2
197,b197,772281,1057337,70,197,V,CP,0.886035538,893.5765717,34.4712081,GRANITES,1.9
