hole_id,strata_name,rock_name,aquifer_group,depth_top,depth_bottom,layer_thickness,resistivity,gamma_gamma,natural_gamma,sp,short_distance_gamma,well_diameter,pumping_level,aquifer_thickness,hole_depth_before_pumping,hole_depth_after_pumping,hole_depth_loss,depth_starting_pumping,pumping_depth_at_the_end,pumping_depth,section_aperture,k,kp,r,rp,remark
H1104,fine-grained sandstone,,I,235.1,243.74,8.56,19.74517442,,13.84610465,-0.61505814,4014.203488,243.5240116,,,,,,,,,,,,,,
H1104,siltstone,,I,243.74,273.5,29.47,19.24619128,,14.32483221,-0.602919463,3911.947987,249.0197987,,,,,,,,,,,,,,
H1104,mudstone,,I,273.5,275.0,1.49,20.612,,13.03333333,-0.702333333,3676.766667,210.8896667,,,,,,,,,,,,,,
H1104,siltstone,,I,275.0,283.0,7.92,21.2148125,,13.17325,-0.8185,3659.59375,197.965125,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,283.0,287.4,4.36,20.38522727,,13.6725,-0.766136364,3783.909091,208.5415909,,,,,,,,,,,,,,
H1104,siltstone,,I,287.4,300.4,12.87,19.27057692,,13.38015385,-0.683384615,3909.261538,242.4761923,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,300.4,301.1,0.69,18.61428571,,15.95285714,-0.577857143,4315.785714,273.7064286,,,,,,,,,,,,,,
H1104,siltstone,,I,301.1,323.0,21.69,20.53878995,,12.86981735,-0.699041096,3907.582192,228.2730137,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,323.0,325.5,2.48,18.7188,,14.1106,-0.424,4581.26,242.6488,,,,,,,,,,,,,,
H1104,mudstone,,I,325.5,326.8,1.29,22.01115385,,12.28269231,-0.376153846,3510.307692,205.9511538,,,,,,,,,,,,,,
H1104,siltstone,,I,326.8,335.1,8.22,19.87849398,,13.73668675,-0.49439759,4199.301205,237.6883133,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,335.1,355.83,20.53,23.47724638,,10.72152174,-1.197681159,3541.533816,172.3736473,,,,,,,,,,,,,,
H1104,siltstone,,I,355.83,369.0,13.04,22.91458333,,12.02253788,-0.805378788,3512.878788,191.9649242,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,369.0,395.4,26.14,25.76439394,,9.912651515,-1.439602273,3496.304924,157.3400758,,,,,,,,,,,,,,
H1104,siltstone,,I,395.4,397.1,1.68,28.31,,10.07911765,-1.351764706,3423.558824,154.68,,,,,,,,,,,,,,
H1104,medium-grained sandstone,,I,397.1,429.5,32.08,24.59938272,,8.902253086,-1.2925,3507.800926,156.6990741,,,,,,,,,,,,,,
H1104,coarse-grained sandstone,,I,429.5,446.51,16.84,24.86652941,,8.967617647,-1.268411765,3512.923529,150.4082353,,,,,,,,,,,,,,
